Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  04:45:00,-10.725,0.0,0.0,0.0,0.0,0.0,0.0,7.527676472958328,-11.564459288675059,3.861291837425483,-8.830202518329998,8.125068528289783 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.474508013392775,-11.442782982027638,3.8384145871926877,-8.736596317345004,8.067051939593082 
 01/01  05:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.414623564486368,-11.443928078182643,3.7872065922834965,-8.739744003920578,8.008430168018015 
 01/01  05:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.355388497024109,-11.445039360344606,3.7371458771385166,-8.749292689259505,7.948514999226963 
 01/01  05:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.295634160831445,-11.446192056604052,3.6872806739244199,-8.759388617043783,7.887618206293632 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.2356057312707409,-11.447341511807526,3.63707744289826,-8.769621440272318,7.826268000623752 
 01/01  06:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.177424492180747,-11.425762726158279,3.57847683230284,-8.807190323713087,7.7650901522322679 
 01/01  06:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.119171523921233,-11.405303471166592,3.522015523995151,-8.845142303194507,7.704407385236537 
 01/01  06:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.0612332850492429,-11.385889192659724,3.4660832317126735,-8.882147104845388,7.644202143146724 
 01/01  07:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.003612353746794,-11.367457504295363,3.4107091974103698,-8.918036542127482,7.584369394999942 
 01/01  07:15:00,-10.45,0.0,0.0,0.0,0.0,0.0,0.0,6.945662983703945,-11.317142345138832,3.3835569745948534,-8.861514663260494,7.524667733473617 
 01/01  07:30:00,-10.3,215.58799802247436,1.0,22.819555959623899,1.0,22.819555959623899,215.58799802247436,7.018191883588466,-9.64297358925561,3.6387943449033175,-8.554464393548074,7.485835556956894 
 01/01  07:45:00,-10.15,1058.5392312131788,1.0,109.75755355442667,1.0,109.75755355442667,1058.5392312131788,7.447618624283177,-3.264878969923473,4.752510785787933,-7.54972561796842,7.526031543701774 
 01/01  08:00:00,-10.0,1924.8399544063869,1.0,195.8764694434918,1.0,195.8764694434918,1924.8399544063869,7.9885673797052869,3.2050121738951717,5.984886281777904,-6.555458849890101,7.653307319294291 
 01/01  08:15:00,-9.725,2788.156804505051,1.0,278.97248314719988,1.0,278.97248314719988,2788.156804505051,8.475925944602741,8.387106255826254,7.233755412170126,-5.673526706900589,7.841924952680162 
 01/01  08:30:00,-9.45,3698.191694963624,1.0,364.91995730569456,1.0,364.91995730569456,3698.191694963624,8.964739574513727,13.460140247711367,8.602021047356346,-4.773749267831477,8.079826006005734 
 01/01  08:45:00,-9.175,4300.267320680403,1.0,420.35879993239237,1.0,420.35879993239237,4300.267320680403,9.320684362548619,16.216418199429783,9.505004090267562,-4.212239549162803,8.344783150503517 
 01/01  09:00:00,-8.9,4925.271017552962,1.0,478.00138373643099,1.0,478.00138373643099,4925.271017552962,9.735564700060385,19.210299047444317,10.393681256591777,-3.638765029529395,8.625751603733518 
 01/01  09:15:00,-8.350000000000002,5563.47927964936,1.0,536.9185644770597,1.0,536.9185644770597,5563.47927964936,10.10182588423026,20.323406228133334,11.318302704541168,-3.009164064968388,8.923276939564488 
 01/01  09:30:00,-7.800000000000001,6223.735720380122,1.0,598.0969199229219,1.0,598.0969199229219,6223.735720380122,10.50099999779474,21.57309586070311,12.259713180790755,-2.3757199328654226,9.064592340652802 
 01/01  09:45:00,-7.25,6656.8716086781919,1.0,637.6133352894237,1.0,637.6133352894237,6656.8716086781919,10.775777039003055,21.628461901540765,12.941436547711647,-1.9184688956621017,9.337637387201518 
 01/01  10:00:00,-6.7,7083.627635401503,1.0,676.6412284283772,1.0,676.6412284283772,7083.627635401503,11.042698884201066,21.78497143288362,13.563000840220184,-1.4657660742134909,9.540197835763486 
 01/01  10:15:00,-6.275,7502.619881928808,1.0,715.0112779846514,1.0,715.0112779846514,7502.619881928808,11.462976036374789,23.88472801679262,14.251280435797242,-0.8031895096228254,10.007114466019513 
 01/01  10:30:00,-5.85,7911.749570951006,1.0,752.5077794605232,1.0,752.5077794605232,7911.749570951006,11.936461474146565,25.8219975225909,14.99286842482627,-0.15045699107270139,10.443233666639552 
 01/01  10:45:00,-5.425,7790.15687674608,1.0,742.5988714321785,1.0,742.5988714321785,7790.15687674608,12.22816700454933,25.67396456284298,15.259004519337168,0.16964600740436709,10.84959185790014 
 01/01  11:00:00,-5.0,7616.415097401759,1.0,727.8169025450712,1.0,727.8169025450712,7616.415097401759,12.506346863889659,25.445910547757959,15.428156434799462,0.4612676306572894,11.209726659273838 
 01/01  11:15:00,-4.575,7317.631879000259,1.0,700.3759009170325,1.0,700.3759009170325,7317.631879000259,12.70679502166246,24.70409281395781,15.456714131165768,0.7074044711273473,11.51967614233812 
 01/01  11:30:00,-4.15,7096.045470553083,1.0,681.6705029034473,1.0,681.6705029034473,7096.045470553083,12.927329074686055,24.374504535220774,15.54662787295564,1.0135842472086552,11.792113690351025 
 01/01  11:45:00,-3.7249999999999998,6229.736928429492,1.0,602.01865277251,1.0,602.01865277251,6229.736928429492,12.841436619323522,21.345801547336554,14.985826056071119,0.9073553903490392,12.002437371680827 
 01/01  12:00:00,-3.3,5087.904404187093,1.0,493.55004396206007,1.0,493.55004396206007,5087.904404187093,12.646701785808247,17.168844271783138,13.98918059035816,0.5835651210107926,12.117972157322696 
 01/01  12:15:00,-3.0249999999999996,4201.06339395177,1.0,412.335026418112,1.0,412.335026418112,4201.06339395177,12.512642775291,14.325883305625835,13.186574633196358,0.3797319686176479,12.157226648575529 
 01/01  12:30:00,-2.75,3076.8921224314046,1.0,305.94037763660148,1.0,305.94037763660148,3076.8921224314046,12.176349831620092,10.153599889508938,12.009178182597566,-0.030261078104786067,12.13211476893597 
 01/01  12:45:00,-2.475,2809.093589913503,1.0,281.0763483922329,1.0,281.0763483922329,2809.093589913503,12.149030489854362,9.64247930895542,11.71979678903881,0.12183465897578572,12.086263470107971 
 01/01  13:00:00,-2.2,2546.873670955547,1.0,256.7721209415886,1.0,256.7721209415886,2546.873670955547,12.109570727861387,9.036462402215708,11.532094276836404,0.30055658517790109,12.046879295677489 
 01/01  13:15:00,-1.9250000000000003,2080.5367602707817,1.0,210.73276284570657,1.0,210.73276284570657,2080.5367602707817,11.945521302694227,7.490134306182299,11.07033601318875,0.27822948082689438,12.009149887283837 
 01/01  13:30:00,-1.6500000000000002,1848.188229985294,1.0,189.38488290342594,1.0,189.38488290342594,1848.188229985294,11.905114569854664,7.088789242746237,10.856024001606329,0.44588485964800386,11.973519223610355 
 01/01  13:45:00,-1.375,1762.64852825266,1.0,179.3940297802914,1.0,179.3940297802914,1762.64852825266,11.888748241649722,7.213470711600802,10.813639131159733,0.6958347078273164,11.942006145911775 
 01/01  14:00:00,-1.1,1676.1315823344044,1.0,169.43349014176136,1.0,169.43349014176136,1676.1315823344044,11.868387272219243,7.314565198939162,10.763815031942386,0.9442604310487468,11.91418985249719 
 01/01  14:15:00,-1.1,1764.2336451753204,1.0,178.15692317953907,1.0,178.15692317953907,1764.2336451753204,11.933753643436545,8.134126138466466,10.870803208016583,1.0726850949337177,11.894756249159782 
 01/01  14:30:00,-1.1,1657.4490571935765,1.0,166.40516310952945,1.0,166.40516310952945,1657.4490571935765,11.87574557743944,7.773122749392725,10.75609650612472,1.0382776030975265,11.87773576231946 
 01/01  14:45:00,-1.1,1397.5312645014938,1.0,140.8967369711617,1.0,140.8967369711617,1397.5312645014938,11.73114547181531,6.560290549914363,10.43017627501979,0.8643665697849201,11.851930959434905 
 01/01  15:00:00,-1.1,1150.0543343479504,1.0,116.57355796743004,1.0,116.57355796743004,1150.0543343479504,11.620488060506382,5.366126713400637,10.098752912996702,0.6823216710979523,11.804969022599132 
 01/01  15:15:00,-1.1,912.7487358561132,1.0,93.14939272689483,1.0,93.14939272689483,912.7487358561132,11.498324136745302,4.318006180914181,9.805746599129634,0.5886272291579644,11.737720592721726 
 01/01  15:30:00,-1.1,566.63606910387,1.0,57.94047897402063,1.0,57.94047897402063,566.63606910387,11.282733542238568,2.200097806028284,9.351020728787717,0.3671664530148746,11.644374070949534 
 01/01  15:45:00,-1.1,439.3280485111739,1.0,45.38251793443488,1.0,45.38251793443488,439.3280485111739,11.194168640277083,1.5965689443478493,9.141483790594009,0.36068506744641129,11.54017297431511 
 01/01  16:00:00,-1.1,306.6800834822592,1.0,32.02625108222755,1.0,32.02625108222755,306.6800834822592,11.065140360032374,0.7415744417857096,8.952360618262901,0.35521095959268225,11.4381359668003 
 01/01  16:15:00,-1.1,168.21359625377557,1.0,17.762198626050539,1.0,17.762198626050539,168.21359625377557,10.912281302853318,-0.49847383614454907,8.711841505016878,0.24197129595677326,11.336268505127047 
 01/01  16:30:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,10.708512883965187,-2.3303988094752476,8.393475494900486,-0.002425529313654806,11.22077659426057 
 01/01  16:45:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,10.642453262227978,-2.4608621155775807,8.30467040339795,0.0429856353142668,11.107965042094986 
 01/01  17:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,10.559779508945992,-2.6425299259493659,8.258831581743323,0.10283526979685576,11.012663042011197 
 01/01  17:15:00,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,10.488713136548327,-2.791589325945412,8.160975313702238,-0.03812152502314348,10.93499123333104 
 01/01  17:30:00,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,10.423429273586592,-2.94409336022109,8.076511134082694,-0.17207939871536838,10.868943544259679 
 01/01  17:45:00,-1.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,10.362389168394858,-3.0962810083728344,7.9968283951808989,-0.3051476722982329,10.808808347010564 
 01/01  18:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,10.303225238849917,-3.2486355855932866,7.920018364506063,-0.43757094717648217,10.751234524124718 
 01/01  18:15:00,-1.825,0.0,0.0,0.0,0.0,0.0,0.0,10.266069818371099,-3.1157395839077415,7.820743413671437,-0.6477831534908205,10.697918088785345 
 01/01  18:30:00,-1.9500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,10.22941969984599,-3.062345267904694,7.737648174869264,-0.8419854319557771,10.650819535389595 
 01/01  18:45:00,-2.075,0.0,0.0,0.0,0.0,0.0,0.0,10.186927552878827,-3.139873835963833,7.677388249543924,-0.9725098001433707,10.608598773780824 
 01/01  19:00:00,-2.2,0.0,0.0,0.0,0.0,0.0,0.0,10.147968267715634,-3.1293256703851348,7.5985083685591239,-1.1557209965554876,10.568175403554405 
 01/01  19:15:00,-1.9250000000000003,0.0,0.0,0.0,0.0,0.0,0.0,10.125612076623366,-2.831058513170282,7.626505285819576,-0.9614111042127433,10.530533012031843 
 01/01  19:30:00,-1.6500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,10.10264884471594,-2.5355410199206,7.651829245306146,-0.7554225606215823,10.496320528332888 
 01/01  19:45:00,-1.375,0.0,0.0,0.0,0.0,0.0,0.0,10.081687116736712,-2.2411282375885448,7.678545288121768,-0.5469720198075834,10.465034519728724 
 01/01  20:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,10.062355135677075,-1.9478621221865178,7.707437173130984,-0.3361066047133363,10.435880637701738 
 01/01  20:15:00,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,10.00494806122325,-2.217068892537845,7.671358621486206,-0.37427829030724527,10.402169651812807 
 01/01  20:30:00,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,9.948319946928616,-2.4272494910251396,7.6145692522136418,-0.45170352197567356,10.359383838888525 
 01/01  20:45:00,-1.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,9.879216791677529,-2.7556180526926976,7.571874271120123,-0.4731760510686627,10.30704315852553 
 01/01  21:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,9.804886113400452,-3.18902750900479,7.5297181040360219,-0.4611891241233934,10.247584333797735 
 01/01  21:15:00,-1.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,9.793138143217814,-2.7231741881497966,7.4725992161133949,-0.488940483725969,10.193895881590846 
 01/01  21:30:00,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,9.772134788828954,-2.4076807082392386,7.454081400109374,-0.480078278432984,10.152838081351977 
 01/01  21:45:00,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,9.75092770857319,-2.194158510302993,7.449621237797487,-0.40476503573643188,10.121923987591116 
 01/01  22:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,9.733498789861818,-1.9233732087239218,7.4381269763080699,-0.3621321110705935,10.095819850264978 
 01/01  22:15:00,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,9.675123626122737,-2.2265630636180937,7.341846957515827,-0.6414980748492098,10.064154397722345 
 01/01  22:30:00,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,9.618909133717223,-2.531300863910537,7.2335206426901099,-0.9321963966007161,10.02222746186829 
 01/01  22:45:00,-1.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,9.557767456361223,-2.8366908093740328,7.12312749018497,-1.224222499194866,9.971574747933842 
 01/01  23:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,9.492743846117694,-3.1424254237136788,7.008568606809376,-1.5180321063088514,9.915333395432585 
 01/01  23:15:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,9.443091245622446,-3.1967791482511695,6.949336665556018,-1.5853603608857157,9.859108618162028 
 01/01  23:30:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,9.391505832681764,-3.2516429669982549,6.894414245968392,-1.6496145450129234,9.805707093759893 
 01/01  23:45:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,9.341167492176691,-3.3063999767479195,6.839354259535071,-1.7140630512073472,9.7549063477915 
 01/01  24:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,9.291711272389599,-3.3611620670992417,6.785209121015555,-1.7785430514638279,9.705570490968425 
